ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
12793078,2022 Toyota RAV4 GXL (awd) Hybrid Axah54R,63999,Toyota,RAV4,GXL (awd) Hybrid,Axah54R,2022,71,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Blue,5
12793115,2019 Toyota RAV4 Cruiser 2WD Hybrid Axah52R,47888,Toyota,RAV4,Cruiser 2WD Hybrid,Axah52R,2019,107852,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Grey,5
12793887,2022 Toyota RAV4 GX (2WD) Hybrid Axah52R,59888,Toyota,RAV4,GX (2WD) Hybrid,Axah52R,2022,50,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,White,5
12795154,2022 Toyota RAV4 GXL (2WD) Hybrid Axah52R,57990,Toyota,RAV4,GXL (2WD) Hybrid,Axah52R,2022,211,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Blue,5
12796850,2019 Toyota RAV4 GX 2WD Hybrid Axah52R,44990,Toyota,RAV4,GX 2WD Hybrid,Axah52R,2019,77211,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Blue,5
12796905,2019 Toyota RAV4 GX (2WD) Mxaa52R,35790,Toyota,RAV4,GX (2WD),Mxaa52R,2019,83218,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12797339,2019 Toyota RAV4 GX (2WD) Mxaa52R,37777,Toyota,RAV4,GX (2WD),Mxaa52R,2019,30368,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12797737,2012 Toyota RAV4 Cruiser (2WD) ACA38R,19913,Toyota,RAV4,Cruiser (2WD),ACA38R,2012,123745,Wagon,Automatic,Unleaded Petrol, Used,2362,White,5
12797996,2018 Toyota RAV4 GXL (2WD) ZSA42R MY18,34500,Toyota,RAV4,GXL (2WD),ZSA42R MY18,2018,52800,Wagon,Automatic,Unleaded Petrol, Used,1987,Pearl,5
12798091,2017 Toyota RAV4 GXL (2WD) ZSA42R MY18,33490,Toyota,RAV4,GXL (2WD),ZSA42R MY18,2017,64357,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12798185,2020 Toyota RAV4 GXL (2WD) Mxaa52R,45990,Toyota,RAV4,GXL (2WD),Mxaa52R,2020,37344,Wagon,Automatic,Unleaded Petrol, Used,1987,Blue,5
